case_id,scenario_type,start_distance_m,actor_speed_mps,ego_speed_mps,cut_duration_s,min_depth_m,rows_evaluated,both_present,presence_agreement,visibility_comparable,visibility_agreement,both_visible_bbox_frames,mae_cx_px,mae_bottom_y_px,mae_width_px,mae_height_px,signed_mean_cx_px,signed_mean_bottom_y_px,signed_mean_width_px,signed_mean_height_px,log_path
geometry_cutin_smoke_v1_case_0001,cut_in,25.0,4.0,5.0,1.5,15.0,241,241,1.0,241,1.0,210,2.456,6.292,8.576,5.811,1.214,6.292,8.576,5.811,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0001\depth_15.txt
geometry_cutin_smoke_v1_case_0001,cut_in,25.0,4.0,5.0,1.5,20.0,241,241,1.0,241,1.0,73,6.64,4.108,6.11,3.753,3.917,4.108,6.11,3.753,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0001\depth_20.txt
geometry_cutin_smoke_v1_case_0001,cut_in,25.0,4.0,5.0,1.5,25.0,241,241,1.0,241,1.0,0,,,,,,,,,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0001\depth_25.txt
geometry_cutin_smoke_v1_case_0001,cut_in,25.0,4.0,5.0,1.5,30.0,241,241,1.0,241,1.0,0,,,,,,,,,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0001\depth_30.txt
geometry_cutin_smoke_v1_case_0002,cut_in,25.0,4.0,5.0,2.5,15.0,241,241,1.0,241,1.0,232,2.797,6.186,8.553,5.714,0.732,6.186,8.553,5.714,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0002\depth_15.txt
geometry_cutin_smoke_v1_case_0002,cut_in,25.0,4.0,5.0,2.5,20.0,241,241,1.0,241,1.0,90,6.522,4.262,6.481,3.904,2.574,4.262,6.481,3.904,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0002\depth_20.txt
geometry_cutin_smoke_v1_case_0002,cut_in,25.0,4.0,5.0,2.5,25.0,241,241,1.0,241,1.0,0,,,,,,,,,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0002\depth_25.txt
geometry_cutin_smoke_v1_case_0002,cut_in,25.0,4.0,5.0,2.5,30.0,241,241,1.0,241,1.0,0,,,,,,,,,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0002\depth_30.txt
geometry_cutin_smoke_v1_case_0003,cut_in,25.0,6.0,5.0,1.5,15.0,241,241,1.0,241,1.0,241,1.961,2.712,3.59,2.457,1.24,2.712,3.59,2.457,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0003\depth_15.txt
geometry_cutin_smoke_v1_case_0003,cut_in,25.0,6.0,5.0,1.5,20.0,241,241,1.0,241,1.0,241,1.961,2.712,3.59,2.457,1.24,2.712,3.59,2.457,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0003\depth_20.txt
geometry_cutin_smoke_v1_case_0003,cut_in,25.0,6.0,5.0,1.5,25.0,241,241,1.0,241,1.0,195,0.625,2.566,3.688,2.321,-0.267,2.566,3.688,2.321,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0003\depth_25.txt
geometry_cutin_smoke_v1_case_0003,cut_in,25.0,6.0,5.0,1.5,30.0,241,241,1.0,241,1.0,19,0.0,2.03,2.539,1.824,0.0,2.03,2.539,1.824,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0003\depth_30.txt
geometry_cutin_smoke_v1_case_0004,cut_in,25.0,6.0,5.0,2.5,15.0,241,241,1.0,241,1.0,241,2.286,2.655,3.537,2.404,1.133,2.655,3.537,2.404,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0004\depth_15.txt
geometry_cutin_smoke_v1_case_0004,cut_in,25.0,6.0,5.0,2.5,20.0,241,241,1.0,241,1.0,241,2.286,2.655,3.537,2.404,1.133,2.655,3.537,2.404,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0004\depth_20.txt
geometry_cutin_smoke_v1_case_0004,cut_in,25.0,6.0,5.0,2.5,25.0,241,241,1.0,241,1.0,195,1.027,2.495,3.624,2.256,-0.399,2.495,3.624,2.256,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0004\depth_25.txt
geometry_cutin_smoke_v1_case_0004,cut_in,25.0,6.0,5.0,2.5,30.0,241,241,1.0,241,1.0,30,0.0,2.002,2.505,1.799,0.0,2.002,2.505,1.799,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0004\depth_30.txt
geometry_cutin_smoke_v1_case_0005,cut_in,35.0,4.0,5.0,1.5,15.0,241,241,1.0,241,1.0,241,1.674,2.427,3.241,2.192,1.228,2.427,3.241,2.192,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0005\depth_15.txt
geometry_cutin_smoke_v1_case_0005,cut_in,35.0,4.0,5.0,1.5,20.0,241,241,1.0,241,1.0,241,1.674,2.427,3.241,2.192,1.228,2.427,3.241,2.192,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0005\depth_20.txt
geometry_cutin_smoke_v1_case_0005,cut_in,35.0,4.0,5.0,1.5,25.0,241,241,1.0,241,1.0,210,1.921,2.304,3.114,2.079,1.409,2.304,3.114,2.079,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0005\depth_25.txt
geometry_cutin_smoke_v1_case_0005,cut_in,35.0,4.0,5.0,1.5,30.0,241,241,1.0,241,1.0,73,5.364,1.79,2.48,1.605,4.215,1.79,2.48,1.605,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0005\depth_30.txt
geometry_cutin_smoke_v1_case_0006,cut_in,35.0,4.0,5.0,2.5,15.0,241,241,1.0,241,1.0,241,1.954,2.315,3.151,2.089,1.161,2.315,3.151,2.089,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0006\depth_15.txt
geometry_cutin_smoke_v1_case_0006,cut_in,35.0,4.0,5.0,2.5,20.0,241,241,1.0,241,1.0,241,1.954,2.315,3.151,2.089,1.161,2.315,3.151,2.089,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0006\depth_20.txt
geometry_cutin_smoke_v1_case_0006,cut_in,35.0,4.0,5.0,2.5,25.0,241,241,1.0,241,1.0,232,2.03,2.282,3.12,2.059,1.206,2.282,3.12,2.059,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0006\depth_25.txt
geometry_cutin_smoke_v1_case_0006,cut_in,35.0,4.0,5.0,2.5,30.0,241,241,1.0,241,1.0,90,4.977,1.833,2.59,1.646,3.365,1.833,2.59,1.646,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0006\depth_30.txt
geometry_cutin_smoke_v1_case_0007,cut_in,35.0,6.0,5.0,1.5,15.0,241,241,1.0,241,1.0,241,1.586,1.346,1.731,1.199,1.246,1.346,1.731,1.199,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0007\depth_15.txt
geometry_cutin_smoke_v1_case_0007,cut_in,35.0,6.0,5.0,1.5,20.0,241,241,1.0,241,1.0,241,1.586,1.346,1.731,1.199,1.246,1.346,1.731,1.199,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0007\depth_20.txt
geometry_cutin_smoke_v1_case_0007,cut_in,35.0,6.0,5.0,1.5,25.0,241,241,1.0,241,1.0,241,1.586,1.346,1.731,1.199,1.246,1.346,1.731,1.199,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0007\depth_25.txt
geometry_cutin_smoke_v1_case_0007,cut_in,35.0,6.0,5.0,1.5,30.0,241,241,1.0,241,1.0,241,1.586,1.346,1.731,1.199,1.246,1.346,1.731,1.199,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0007\depth_30.txt
geometry_cutin_smoke_v1_case_0008,cut_in,35.0,6.0,5.0,2.5,15.0,241,241,1.0,241,1.0,241,1.79,1.326,1.707,1.181,1.251,1.326,1.707,1.181,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0008\depth_15.txt
geometry_cutin_smoke_v1_case_0008,cut_in,35.0,6.0,5.0,2.5,20.0,241,241,1.0,241,1.0,241,1.79,1.326,1.707,1.181,1.251,1.326,1.707,1.181,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0008\depth_20.txt
geometry_cutin_smoke_v1_case_0008,cut_in,35.0,6.0,5.0,2.5,25.0,241,241,1.0,241,1.0,241,1.79,1.326,1.707,1.181,1.251,1.326,1.707,1.181,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0008\depth_25.txt
geometry_cutin_smoke_v1_case_0008,cut_in,35.0,6.0,5.0,2.5,30.0,241,241,1.0,241,1.0,241,1.79,1.326,1.707,1.181,1.251,1.326,1.707,1.181,outputs\benchmarks\geometry_cutin_smoke_v1\m4f\logs\geometry_cutin_smoke_v1_case_0008\depth_30.txt
